M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, mode, latency(cycles)
32,32,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,sta,70710
32,32,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,dyn,70921
32,32,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,sta,84852
32,32,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,dyn,86021
32,32,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,47901
32,32,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,50504
32,32,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,63802
32,32,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,67252
32,32,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,42601
32,32,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,44901
32,64,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,sta,33081
32,64,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,dyn,33368
32,64,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,sta,40925
32,64,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,dyn,42353
32,64,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,22221
32,64,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,25387
32,64,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,29540
32,64,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,33794
32,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,19782
32,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,22620
32,96,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,sta,22215
32,96,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,dyn,22391
32,96,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,sta,27430
32,96,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,dyn,28859
32,96,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,14962
32,96,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,18096
32,96,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,19841
32,96,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,24061
32,96,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,13336
32,96,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,16144
64,64,16,16,8,128,8,224,224,11,11,4,4,2,2,2,2,sta,33104
64,64,16,16,8,128,8,224,224,11,11,4,4,2,2,2,2,dyn,34323
64,64,16,16,8,256,64,27,27,5,5,1,1,2,2,2,2,sta,27394
64,64,16,16,8,256,64,27,27,5,5,1,1,2,2,2,2,dyn,31589
64,64,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,11266
64,64,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,18100
64,64,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,14926
64,64,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,24141
64,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,10047
64,64,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,16177
32,32,16,16,8,64,8,299,299,3,3,2,2,0,0,0,0,sta,38511
32,32,16,16,8,64,8,299,299,3,3,2,2,0,0,0,0,dyn,38514
32,32,16,16,8,64,32,149,149,3,3,1,1,0,0,0,0,sta,149483
32,32,16,16,8,64,32,149,149,3,3,1,1,0,0,0,0,dyn,149529
32,32,16,16,8,64,32,147,147,3,3,1,1,1,1,1,1,sta,149483
32,32,16,16,8,64,32,147,147,3,3,1,1,1,1,1,1,dyn,149532
32,32,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,sta,16591
32,32,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,dyn,16602
32,32,16,16,8,192,80,73,73,3,3,1,1,0,0,0,0,sta,261886
32,32,16,16,8,192,80,73,73,3,3,1,1,0,0,0,0,dyn,262404
32,32,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,sta,5939
32,32,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,dyn,5965
32,32,16,16,8,64,48,35,35,5,5,1,1,2,2,2,2,sta,36084
32,32,16,16,8,64,48,35,35,5,5,1,1,2,2,2,2,dyn,36378
32,32,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,sta,34652
32,32,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,dyn,34935
32,32,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,sta,51876
32,32,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,dyn,52293
32,32,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,sta,7854
32,32,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,dyn,7895
32,32,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,sta,8816
32,32,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,dyn,8934
32,32,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,sta,119443
32,32,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,dyn,123335
32,32,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,sta,13453
32,32,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,dyn,13872
32,32,16,16,8,192,768,17,17,1,1,1,1,0,0,0,0,sta,17867
32,32,16,16,8,192,768,17,17,1,1,1,1,0,0,0,0,dyn,18416
32,32,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,sta,11977
32,32,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,dyn,12353
32,32,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,sta,13943
32,32,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,dyn,14378
32,32,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,sta,13941
32,32,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,dyn,14371
32,32,16,16,8,192,128,17,17,7,1,1,1,0,0,3,3,sta,20813
32,32,16,16,8,192,128,17,17,7,1,1,1,0,0,3,3,dyn,21481
32,32,16,16,8,192,128,17,17,1,7,1,1,3,3,0,0,sta,20808
32,32,16,16,8,192,128,17,17,1,7,1,1,3,3,0,0,dyn,21457
32,32,16,16,8,192,160,17,17,1,7,1,1,3,3,0,0,sta,25965
32,32,16,16,8,192,160,17,17,1,7,1,1,3,3,0,0,dyn,26786
32,32,16,16,8,192,160,17,17,7,1,1,1,0,0,3,3,sta,25968
32,32,16,16,8,192,160,17,17,7,1,1,1,0,0,3,3,dyn,26790
32,32,16,16,8,192,192,17,17,1,7,1,1,3,3,0,0,sta,31113
32,32,16,16,8,192,192,17,17,1,7,1,1,3,3,0,0,dyn,32113
32,32,16,16,8,192,192,17,17,7,1,1,1,0,0,3,3,sta,31115
32,32,16,16,8,192,192,17,17,7,1,1,1,0,0,3,3,dyn,32105
32,32,16,16,8,320,192,17,17,3,3,2,2,0,0,0,0,sta,13452
32,32,16,16,8,320,192,17,17,3,3,2,2,0,0,0,0,dyn,15631
32,32,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,sta,8148
32,32,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,dyn,9413
32,32,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,sta,10011
32,32,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,dyn,11586
32,32,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,sta,11976
32,32,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,dyn,13880
32,32,16,16,8,448,1280,8,8,1,1,1,1,0,0,0,0,sta,13933
32,32,16,16,8,448,1280,8,8,1,1,1,1,0,0,0,0,dyn,16189
32,32,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,sta,10806
32,32,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,dyn,12492
32,32,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,sta,10804
32,32,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,dyn,12496
32,32,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,sta,37300
32,32,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,dyn,43346
32,32,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,sta,6086
32,32,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,dyn,7032
32,32,16,16,8,320,2048,8,8,1,1,1,1,0,0,0,0,sta,15900
32,32,16,16,8,320,2048,8,8,1,1,1,1,0,0,0,0,dyn,18445
32,32,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,sta,19042
32,32,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,dyn,22100
32,32,16,16,8,448,2048,8,8,1,1,1,1,0,0,0,0,sta,22185
32,32,16,16,8,448,2048,8,8,1,1,1,1,0,0,0,0,dyn,25746
32,32,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,sta,9623
32,32,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,dyn,11135
32,64,16,16,8,64,8,299,299,3,3,2,2,0,0,0,0,sta,19408
32,64,16,16,8,64,8,299,299,3,3,2,2,0,0,0,0,dyn,19407
32,64,16,16,8,64,32,149,149,3,3,1,1,0,0,0,0,sta,68979
32,64,16,16,8,64,32,149,149,3,3,1,1,0,0,0,0,dyn,69008
32,64,16,16,8,64,32,147,147,3,3,1,1,1,1,1,1,sta,68979
32,64,16,16,8,64,32,147,147,3,3,1,1,1,1,1,1,dyn,69069
32,64,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,sta,7855
32,64,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,dyn,7855
32,64,16,16,8,192,80,73,73,3,3,1,1,0,0,0,0,sta,120717
32,64,16,16,8,192,80,73,73,3,3,1,1,0,0,0,0,dyn,121335
32,64,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,sta,2976
32,64,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,dyn,2979
32,64,16,16,8,64,48,35,35,5,5,1,1,2,2,2,2,sta,17207
32,64,16,16,8,64,48,35,35,5,5,1,1,2,2,2,2,dyn,17543
32,64,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,sta,16529
32,64,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,dyn,16881
32,64,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,sta,24661
32,64,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,dyn,25162
32,64,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,sta,3880
32,64,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,dyn,3901
32,64,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,sta,4331
32,64,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,dyn,4364
32,64,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,sta,55157
32,64,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,dyn,59959
32,64,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,sta,6366
32,64,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,dyn,6855
32,64,16,16,8,192,768,17,17,1,1,1,1,0,0,0,0,sta,8397
32,64,16,16,8,192,768,17,17,1,1,1,1,0,0,0,0,dyn,9121
32,64,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,sta,5687
32,64,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,dyn,6121
32,64,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,sta,6590
32,64,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,dyn,7100
32,64,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,sta,6590
32,64,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,dyn,7102
32,64,16,16,8,192,128,17,17,7,1,1,1,0,0,3,3,sta,9753
32,64,16,16,8,192,128,17,17,7,1,1,1,0,0,3,3,dyn,10611
32,64,16,16,8,192,128,17,17,1,7,1,1,3,3,0,0,sta,9753
32,64,16,16,8,192,128,17,17,1,7,1,1,3,3,0,0,dyn,10559
32,64,16,16,8,192,160,17,17,1,7,1,1,3,3,0,0,sta,12125
32,64,16,16,8,192,160,17,17,1,7,1,1,3,3,0,0,dyn,13141
32,64,16,16,8,192,160,17,17,7,1,1,1,0,0,3,3,sta,12125
32,64,16,16,8,192,160,17,17,7,1,1,1,0,0,3,3,dyn,13092
32,64,16,16,8,192,192,17,17,1,7,1,1,3,3,0,0,sta,14496
32,64,16,16,8,192,192,17,17,1,7,1,1,3,3,0,0,dyn,15697
32,64,16,16,8,192,192,17,17,7,1,1,1,0,0,3,3,sta,14496
32,64,16,16,8,192,192,17,17,7,1,1,1,0,0,3,3,dyn,15696
32,64,16,16,8,320,192,17,17,3,3,2,2,0,0,0,0,sta,6367
32,64,16,16,8,320,192,17,17,3,3,2,2,0,0,0,0,dyn,8989
32,64,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,sta,3928
32,64,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,dyn,5509
32,64,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,sta,4783
32,64,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,dyn,6716
32,64,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,sta,5687
32,64,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,dyn,8026
32,64,16,16,8,448,1280,8,8,1,1,1,1,0,0,0,0,sta,6590
32,64,16,16,8,448,1280,8,8,1,1,1,1,0,0,0,0,dyn,9308
32,64,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,sta,5145
32,64,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,dyn,7224
32,64,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,sta,5145
32,64,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,dyn,7228
32,64,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,sta,17342
32,64,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,dyn,24852
32,64,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,sta,2976
32,64,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,dyn,4125
32,64,16,16,8,320,2048,8,8,1,1,1,1,0,0,0,0,sta,7494
32,64,16,16,8,320,2048,8,8,1,1,1,1,0,0,0,0,dyn,10620
32,64,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,sta,8939
32,64,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,dyn,12734
32,64,16,16,8,448,2048,8,8,1,1,1,1,0,0,0,0,sta,10385
32,64,16,16,8,448,2048,8,8,1,1,1,1,0,0,0,0,dyn,14844
32,64,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,sta,4603
32,64,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,dyn,6456
32,96,16,16,8,64,8,299,299,3,3,2,2,0,0,0,0,sta,14973
32,96,16,16,8,64,8,299,299,3,3,2,2,0,0,0,0,dyn,14973
32,96,16,16,8,64,32,149,149,3,3,1,1,0,0,0,0,sta,46269
32,96,16,16,8,64,32,149,149,3,3,1,1,0,0,0,0,dyn,46270
32,96,16,16,8,64,32,147,147,3,3,1,1,1,1,1,1,sta,46269
32,96,16,16,8,64,32,147,147,3,3,1,1,1,1,1,1,dyn,46270
32,96,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,sta,5698
32,96,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,dyn,5698
32,96,16,16,8,192,80,73,73,3,3,1,1,0,0,0,0,sta,81134
32,96,16,16,8,192,80,73,73,3,3,1,1,0,0,0,0,dyn,81719
32,96,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,sta,2201
32,96,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,dyn,2201
32,96,16,16,8,64,48,35,35,5,5,1,1,2,2,2,2,sta,11337
32,96,16,16,8,64,48,35,35,5,5,1,1,2,2,2,2,dyn,11642
32,96,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,sta,10896
32,96,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,dyn,11183
32,96,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,sta,16182
32,96,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,dyn,16638
32,96,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,sta,2823
32,96,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,dyn,2822
32,96,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,sta,3133
32,96,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,dyn,3133
32,96,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,sta,44247
32,96,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,dyn,49092
32,96,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,sta,5215
32,96,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,dyn,5664
32,96,16,16,8,192,768,17,17,1,1,1,1,0,0,0,0,sta,6856
32,96,16,16,8,192,768,17,17,1,1,1,1,0,0,0,0,dyn,7457
32,96,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,sta,4688
32,96,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,dyn,5060
32,96,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,sta,5384
32,96,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,dyn,5859
32,96,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,sta,5385
32,96,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,dyn,5862
32,96,16,16,8,192,128,17,17,7,1,1,1,0,0,3,3,sta,7914
32,96,16,16,8,192,128,17,17,7,1,1,1,0,0,3,3,dyn,8696
32,96,16,16,8,192,128,17,17,1,7,1,1,3,3,0,0,sta,7915
32,96,16,16,8,192,128,17,17,1,7,1,1,3,3,0,0,dyn,8695
32,96,16,16,8,192,160,17,17,1,7,1,1,3,3,0,0,sta,9812
32,96,16,16,8,192,160,17,17,1,7,1,1,3,3,0,0,dyn,10781
32,96,16,16,8,192,160,17,17,7,1,1,1,0,0,3,3,sta,9812
32,96,16,16,8,192,160,17,17,7,1,1,1,0,0,3,3,dyn,10786
32,96,16,16,8,192,192,17,17,1,7,1,1,3,3,0,0,sta,11709
32,96,16,16,8,192,192,17,17,1,7,1,1,3,3,0,0,dyn,12880
32,96,16,16,8,192,192,17,17,7,1,1,1,0,0,3,3,sta,11709
32,96,16,16,8,192,192,17,17,7,1,1,1,0,0,3,3,dyn,12890
32,96,16,16,8,320,192,17,17,3,3,2,2,0,0,0,0,sta,6426
32,96,16,16,8,320,192,17,17,3,3,2,2,0,0,0,0,dyn,9049
32,96,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,sta,3987
32,96,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,dyn,5496
32,96,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,sta,4842
32,96,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,dyn,6750
32,96,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,sta,5746
32,96,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,dyn,8056
32,96,16,16,8,448,1280,8,8,1,1,1,1,0,0,0,0,sta,6649
32,96,16,16,8,448,1280,8,8,1,1,1,1,0,0,0,0,dyn,9365
32,96,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,sta,5204
32,96,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,dyn,7289
32,96,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,sta,5204
32,96,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,dyn,7251
32,96,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,sta,17402
32,96,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,dyn,24854
32,96,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,sta,3035
32,96,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,dyn,4148
32,96,16,16,8,320,2048,8,8,1,1,1,1,0,0,0,0,sta,7553
32,96,16,16,8,320,2048,8,8,1,1,1,1,0,0,0,0,dyn,10650
32,96,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,sta,8999
32,96,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,dyn,12729
32,96,16,16,8,448,2048,8,8,1,1,1,1,0,0,0,0,sta,10444
32,96,16,16,8,448,2048,8,8,1,1,1,1,0,0,0,0,dyn,14819
32,96,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,sta,4661
32,96,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,dyn,6487
64,64,16,16,8,128,8,299,299,3,3,2,2,0,0,0,0,sta,22484
64,64,16,16,8,128,8,299,299,3,3,2,2,0,0,0,0,dyn,22524
64,64,16,16,8,128,32,149,149,3,3,1,1,0,0,0,0,sta,69002
64,64,16,16,8,128,32,149,149,3,3,1,1,0,0,0,0,dyn,69322
64,64,16,16,8,128,32,147,147,3,3,1,1,1,1,1,1,sta,69002
64,64,16,16,8,128,32,147,147,3,3,1,1,1,1,1,1,dyn,69322
64,64,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,sta,5646
64,64,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,dyn,5676
64,64,16,16,8,256,80,73,73,3,3,1,1,0,0,0,0,sta,80590
64,64,16,16,8,256,80,73,73,3,3,1,1,0,0,0,0,dyn,82466
64,64,16,16,8,128,192,35,35,1,1,1,1,0,0,0,0,sta,2999
64,64,16,16,8,128,192,35,35,1,1,1,1,0,0,0,0,dyn,3193
64,64,16,16,8,128,48,35,35,5,5,1,1,2,2,2,2,sta,17230
64,64,16,16,8,128,48,35,35,5,5,1,1,2,2,2,2,dyn,18761
64,64,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,sta,8420
64,64,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,dyn,9148
64,64,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,sta,12486
64,64,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,dyn,13589
64,64,16,16,8,128,256,35,35,1,1,1,1,0,0,0,0,sta,3903
64,64,16,16,8,128,256,35,35,1,1,1,1,0,0,0,0,dyn,4248
64,64,16,16,8,128,288,35,35,1,1,1,1,0,0,0,0,sta,4355
64,64,16,16,8,128,288,35,35,1,1,1,1,0,0,0,0,dyn,4731
64,64,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,sta,27735
64,64,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,dyn,38016
64,64,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,sta,3340
64,64,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,dyn,4476
64,64,16,16,8,256,768,17,17,1,1,1,1,0,0,0,0,sta,5710
64,64,16,16,8,256,768,17,17,1,1,1,1,0,0,0,0,dyn,7680
64,64,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,sta,2999
64,64,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,dyn,3974
64,64,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,sta,3451
64,64,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,dyn,4594
64,64,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,sta,3451
64,64,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,dyn,4594
64,64,16,16,8,256,128,17,17,7,1,1,1,0,0,3,3,sta,6613
64,64,16,16,8,256,128,17,17,7,1,1,1,0,0,3,3,dyn,8914
64,64,16,16,8,256,128,17,17,1,7,1,1,3,3,0,0,sta,6614
