M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, mode, latency(cycles)
32,32,16,16,8,256,1024,14,14,1,1,1,1,0,0,0,0,dyn,23182
32,32,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,sta,50695
32,32,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,dyn,58691
32,32,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,sta,12994
32,32,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,dyn,14827
32,32,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,56739
32,32,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,65972
32,32,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,sta,25342
32,32,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,dyn,29455
32,32,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,sta,25329
32,32,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,dyn,29446
32,64,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,sta,54500
32,64,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,dyn,54562
32,64,16,16,8,256,64,56,56,1,1,1,1,0,0,0,0,sta,9120
32,64,16,16,8,256,64,56,56,1,1,1,1,0,0,0,0,dyn,9141
32,64,16,16,8,64,64,56,56,1,1,1,1,0,0,0,0,sta,2480
32,64,16,16,8,64,64,56,56,1,1,1,1,0,0,0,0,dyn,2479
32,64,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,sta,20188
32,64,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,dyn,20305
32,64,16,16,8,64,256,56,56,1,1,1,1,0,0,0,0,sta,9120
32,64,16,16,8,64,256,56,56,1,1,1,1,0,0,0,0,dyn,9142
32,64,16,16,8,512,256,56,56,1,1,2,2,0,0,0,0,sta,19351
32,64,16,16,8,512,256,56,56,1,1,2,2,0,0,0,0,dyn,19649
32,64,16,16,8,128,256,56,56,1,1,2,2,0,0,0,0,sta,6956
32,64,16,16,8,128,256,56,56,1,1,2,2,0,0,0,0,dyn,6955
32,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,21408
32,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,dyn,22066
32,64,16,16,8,512,128,28,28,1,1,1,1,0,0,0,0,sta,9662
32,64,16,16,8,512,128,28,28,1,1,1,1,0,0,0,0,dyn,9980
32,64,16,16,8,128,512,28,28,1,1,1,1,0,0,0,0,sta,9663
32,64,16,16,8,128,512,28,28,1,1,1,1,0,0,0,0,dyn,9941
32,64,16,16,8,1024,512,28,28,1,1,2,2,0,0,0,0,sta,23987
32,64,16,16,8,1024,512,28,28,1,1,2,2,0,0,0,0,dyn,25895
32,64,16,16,8,256,512,28,28,1,1,2,2,0,0,0,0,sta,6639
32,64,16,16,8,256,512,28,28,1,1,2,2,0,0,0,0,dyn,6639
32,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
32,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,dyn,29124
32,64,16,16,8,1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
32,64,16,16,8,1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13057
32,64,16,16,8,256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
32,64,16,16,8,256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13051
32,64,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,sta,24202
32,64,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,dyn,33567
32,64,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,sta,6854
32,64,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,dyn,8539
32,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,26287
32,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,37733
32,64,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,sta,11831
32,64,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,dyn,16919
32,64,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,sta,11831
32,64,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,dyn,16905
32,96,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,sta,36573
32,96,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,dyn,36604
32,96,16,16,8,256,64,56,56,1,1,1,1,0,0,0,0,sta,6658
32,96,16,16,8,256,64,56,56,1,1,1,1,0,0,0,0,dyn,6658
32,96,16,16,8,64,64,56,56,1,1,1,1,0,0,0,0,sta,1939
32,96,16,16,8,64,64,56,56,1,1,1,1,0,0,0,0,dyn,1939
32,96,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
32,96,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,dyn,13859
32,96,16,16,8,64,256,56,56,1,1,1,1,0,0,0,0,sta,6682
32,96,16,16,8,64,256,56,56,1,1,1,1,0,0,0,0,dyn,6682
32,96,16,16,8,512,256,56,56,1,1,2,2,0,0,0,0,sta,13883
32,96,16,16,8,512,256,56,56,1,1,2,2,0,0,0,0,dyn,13889
32,96,16,16,8,128,256,56,56,1,1,2,2,0,0,0,0,sta,6979
32,96,16,16,8,128,256,56,56,1,1,2,2,0,0,0,0,dyn,6979
32,96,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
32,96,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,dyn,15590
32,96,16,16,8,512,128,28,28,1,1,1,1,0,0,0,0,sta,6830
32,96,16,16,8,512,128,28,28,1,1,1,1,0,0,0,0,dyn,7047
32,96,16,16,8,128,512,28,28,1,1,1,1,0,0,0,0,sta,6845
32,96,16,16,8,128,512,28,28,1,1,1,1,0,0,0,0,dyn,7081
32,96,16,16,8,1024,512,28,28,1,1,2,2,0,0,0,0,sta,18776
32,96,16,16,8,1024,512,28,28,1,1,2,2,0,0,0,0,dyn,20201
32,96,16,16,8,256,512,28,28,1,1,2,2,0,0,0,0,sta,5920
32,96,16,16,8,256,512,28,28,1,1,2,2,0,0,0,0,dyn,5920
32,96,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
32,96,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,dyn,22602
32,96,16,16,8,1024,256,14,14,1,1,1,1,0,0,0,0,sta,9003
32,96,16,16,8,1024,256,14,14,1,1,1,1,0,0,0,0,dyn,10187
32,96,16,16,8,256,1024,14,14,1,1,1,1,0,0,0,0,sta,9036
32,96,16,16,8,256,1024,14,14,1,1,1,1,0,0,0,0,dyn,10188
32,96,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,sta,24261
32,96,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,dyn,33605
32,96,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,sta,6913
32,96,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,dyn,8569
32,96,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,26346
32,96,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,37768
32,96,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,sta,11890
32,96,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,dyn,16939
32,96,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,sta,11890
32,96,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,dyn,16973
64,64,16,16,8,128,8,224,224,7,7,2,2,3,3,3,3,sta,54523
64,64,16,16,8,128,8,224,224,7,7,2,2,3,3,3,3,dyn,55019
64,64,16,16,8,256,64,56,56,1,1,1,1,0,0,0,0,sta,6542
64,64,16,16,8,256,64,56,56,1,1,1,1,0,0,0,0,dyn,6638
64,64,16,16,8,128,64,56,56,1,1,1,1,0,0,0,0,sta,3406
64,64,16,16,8,128,64,56,56,1,1,1,1,0,0,0,0,dyn,3437
64,64,16,16,8,128,64,56,56,3,3,1,1,1,1,1,1,sta,20212
64,64,16,16,8,128,64,56,56,3,3,1,1,1,1,1,1,dyn,20937
64,64,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,sta,9143
64,64,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,dyn,9478
64,64,16,16,8,512,256,56,56,1,1,2,2,0,0,0,0,sta,9977
64,64,16,16,8,512,256,56,56,1,1,2,2,0,0,0,0,dyn,10990
64,64,16,16,8,128,256,56,56,1,1,2,2,0,0,0,0,sta,6626
64,64,16,16,8,128,256,56,56,1,1,2,2,0,0,0,0,dyn,6626
64,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
64,64,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,dyn,12401
64,64,16,16,8,512,128,28,28,1,1,1,1,0,0,0,0,sta,4987
64,64,16,16,8,512,128,28,28,1,1,1,1,0,0,0,0,dyn,5629
64,64,16,16,8,128,512,28,28,1,1,1,1,0,0,0,0,sta,4987
64,64,16,16,8,128,512,28,28,1,1,1,1,0,0,0,0,dyn,5597
64,64,16,16,8,1024,512,28,28,1,1,2,2,0,0,0,0,sta,12445
64,64,16,16,8,1024,512,28,28,1,1,2,2,0,0,0,0,dyn,17236
64,64,16,16,8,256,512,28,28,1,1,2,2,0,0,0,0,sta,4440
64,64,16,16,8,256,512,28,28,1,1,2,2,0,0,0,0,dyn,4485
64,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,13299
64,64,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,dyn,19350
64,64,16,16,8,1024,256,14,14,1,1,1,1,0,0,0,0,sta,6071
64,64,16,16,8,1024,256,14,14,1,1,1,1,0,0,0,0,dyn,8737
64,64,16,16,8,256,1024,14,14,1,1,1,1,0,0,0,0,sta,6071
64,64,16,16,8,256,1024,14,14,1,1,1,1,0,0,0,0,dyn,8737
64,64,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,sta,12660
64,64,16,16,8,2048,1024,14,14,1,1,2,2,0,0,0,0,dyn,33591
64,64,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,sta,3985
64,64,16,16,8,512,1024,14,14,1,1,2,2,0,0,0,0,dyn,8623
64,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,13300
64,64,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,37763
64,64,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,sta,6071
64,64,16,16,8,2048,512,7,7,1,1,1,1,0,0,0,0,dyn,16904
64,64,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,sta,6071
64,64,16,16,8,512,2048,7,7,1,1,1,1,0,0,0,0,dyn,16893
32,32,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,2660
32,32,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,2668
32,32,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,22284
32,32,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,22566
32,32,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,2970
32,32,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,3127
32,32,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,24930
32,32,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,26049
32,32,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,3393
32,32,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,3878
32,32,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,28464
32,32,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,33095
32,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,1941
32,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,1941
32,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,10837
32,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,11185
32,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,1854
32,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,1854
32,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,13277
32,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,14659
32,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,1907
32,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,2372
32,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,13276
32,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,18976
32,96,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,1996
32,96,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,1996
32,96,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,7649
32,96,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,7954
32,96,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,1719
32,96,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,1719
32,96,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,10091
32,96,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,11427
32,96,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,1966
32,96,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,2320
32,96,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,13336
32,96,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,18984
64,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,1892
64,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,1893
64,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,5575
64,64,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,6268
64,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,1322
64,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,1323
64,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,6795
64,64,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,9793
64,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,1207
64,64,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,2318
64,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,6794
64,64,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,19014
32,32,16,16,8,64,8,224,224,3,3,2,2,1,1,1,1,sta,21840
32,32,16,16,8,64,8,224,224,3,3,2,2,1,1,1,1,dyn,21837
32,32,16,16,8,64,32,112,112,3,3,2,2,1,1,1,1,sta,21839
32,32,16,16,8,64,32,112,112,3,3,2,2,1,1,1,1,dyn,21890
32,32,16,16,8,64,32,56,56,1,1,1,1,0,0,0,0,sta,3329
32,32,16,16,8,64,32,56,56,1,1,1,1,0,0,0,0,dyn,3329
32,32,16,16,8,64,192,56,56,1,1,1,1,0,0,0,0,sta,14624
32,32,16,16,8,64,192,56,56,1,1,1,1,0,0,0,0,dyn,14648
32,32,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,sta,38671
32,32,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,dyn,38771
32,32,16,16,8,192,128,56,56,3,3,2,2,1,1,1,1,sta,66450
32,32,16,16,8,192,128,56,56,3,3,2,2,1,1,1,1,dyn,67301
32,32,16,16,8,192,144,28,28,1,1,1,1,0,0,0,0,sta,8480
32,32,16,16,8,192,144,28,28,1,1,1,1,0,0,0,0,dyn,8559
32,32,16,16,8,128,144,28,28,3,3,1,1,1,1,1,1,sta,49886
32,32,16,16,8,128,144,28,28,3,3,1,1,1,1,1,1,dyn,50504
32,32,16,16,8,192,72,28,28,1,1,1,1,0,0,0,0,sta,4342
32,32,16,16,8,192,72,28,28,1,1,1,1,0,0,0,0,dyn,4402
32,32,16,16,8,192,432,28,28,1,1,1,1,0,0,0,0,sta,25043
32,32,16,16,8,192,432,28,28,1,1,1,1,0,0,0,0,dyn,25326
32,32,16,16,8,192,144,28,28,3,3,1,1,1,1,1,1,sta,74735
32,32,16,16,8,192,144,28,28,3,3,1,1,1,1,1,1,dyn,75687
32,32,16,16,8,320,576,28,28,1,1,1,1,0,0,0,0,sta,55409
32,32,16,16,8,320,576,28,28,1,1,1,1,0,0,0,0,dyn,56129
32,32,16,16,8,320,288,28,28,3,3,2,2,1,1,1,1,sta,69757
32,32,16,16,8,320,288,28,28,3,3,2,2,1,1,1,1,dyn,73003
32,32,16,16,8,320,304,14,14,1,1,1,1,0,0,0,0,sta,8355
32,32,16,16,8,320,304,14,14,1,1,1,1,0,0,0,0,dyn,8727
32,32,16,16,8,192,304,14,14,3,3,1,1,1,1,1,1,sta,44257
32,32,16,16,8,192,304,14,14,3,3,1,1,1,1,1,1,dyn,46323
32,32,16,16,8,320,152,14,14,1,1,1,1,0,0,0,0,sta,4282
32,32,16,16,8,320,152,14,14,1,1,1,1,0,0,0,0,dyn,4432
32,32,16,16,8,320,912,14,14,1,1,1,1,0,0,0,0,sta,24676
32,32,16,16,8,320,912,14,14,1,1,1,1,0,0,0,0,dyn,25841
32,32,16,16,8,320,304,14,14,3,3,1,1,1,1,1,1,sta,73625
32,32,16,16,8,320,304,14,14,3,3,1,1,1,1,1,1,dyn,77040
32,32,16,16,8,512,1216,14,14,1,1,1,1,0,0,0,0,sta,52415
32,32,16,16,8,512,1216,14,14,1,1,1,1,0,0,0,0,dyn,54834
32,32,16,16,8,960,480,14,14,3,3,2,2,1,1,1,1,sta,99582
32,32,16,16,8,960,480,14,14,3,3,2,2,1,1,1,1,dyn,115861
32,32,16,16,8,1024,960,7,7,3,3,1,1,1,1,1,1,sta,212201
32,32,16,16,8,1024,960,7,7,3,3,1,1,1,1,1,1,dyn,246908
32,32,16,16,8,1280,1024,7,7,3,3,2,2,1,1,1,1,sta,141531
32,32,16,16,8,1280,1024,7,7,3,3,2,2,1,1,1,1,dyn,187838
32,32,16,16,8,1024,1280,4,4,1,1,1,1,0,0,0,0,sta,15902
32,32,16,16,8,1024,1280,4,4,1,1,1,1,0,0,0,0,dyn,21067
32,64,16,16,8,64,8,224,224,3,3,2,2,1,1,1,1,sta,10227
32,64,16,16,8,64,8,224,224,3,3,2,2,1,1,1,1,dyn,10227
32,64,16,16,8,64,32,112,112,3,3,2,2,1,1,1,1,sta,10227
32,64,16,16,8,64,32,112,112,3,3,2,2,1,1,1,1,dyn,10259
32,64,16,16,8,64,32,56,56,1,1,1,1,0,0,0,0,sta,1824
32,64,16,16,8,64,32,56,56,1,1,1,1,0,0,0,0,dyn,1824
32,64,16,16,8,64,192,56,56,1,1,1,1,0,0,0,0,sta,6907
32,64,16,16,8,64,192,56,56,1,1,1,1,0,0,0,0,dyn,6979
32,64,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,sta,17975
32,64,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,dyn,18120
32,64,16,16,8,192,128,56,56,3,3,2,2,1,1,1,1,sta,31980
32,64,16,16,8,192,128,56,56,3,3,2,2,1,1,1,1,dyn,33009
32,64,16,16,8,192,144,28,28,1,1,1,1,0,0,0,0,sta,4230
32,64,16,16,8,192,144,28,28,1,1,1,1,0,0,0,0,dyn,4304
32,64,16,16,8,128,144,28,28,3,3,1,1,1,1,1,1,sta,24051
32,64,16,16,8,128,144,28,28,3,3,1,1,1,1,1,1,dyn,24883
32,64,16,16,8,192,72,28,28,1,1,1,1,0,0,0,0,sta,2248
32,64,16,16,8,192,72,28,28,1,1,1,1,0,0,0,0,dyn,2257
32,64,16,16,8,192,432,28,28,1,1,1,1,0,0,0,0,sta,12158
32,64,16,16,8,192,432,28,28,1,1,1,1,0,0,0,0,dyn,12540
32,64,16,16,8,192,144,28,28,3,3,1,1,1,1,1,1,sta,35944
32,64,16,16,8,192,144,28,28,3,3,1,1,1,1,1,1,dyn,37116
32,64,16,16,8,320,576,28,28,1,1,1,1,0,0,0,0,sta,26694
32,64,16,16,8,320,576,28,28,1,1,1,1,0,0,0,0,dyn,27555
32,64,16,16,8,320,288,28,28,3,3,2,2,1,1,1,1,sta,36860
32,64,16,16,8,320,288,28,28,3,3,2,2,1,1,1,1,dyn,40858
32,64,16,16,8,320,304,14,14,1,1,1,1,0,0,0,0,sta,4557
32,64,16,16,8,320,304,14,14,1,1,1,1,0,0,0,0,dyn,4952
32,64,16,16,8,192,304,14,14,3,3,1,1,1,1,1,1,sta,23441
32,64,16,16,8,192,304,14,14,3,3,1,1,1,1,1,1,dyn,25937
32,64,16,16,8,320,152,14,14,1,1,1,1,0,0,0,0,sta,2411
32,64,16,16,8,320,152,14,14,1,1,1,1,0,0,0,0,dyn,2655
32,64,16,16,8,320,912,14,14,1,1,1,1,0,0,0,0,sta,13141
32,64,16,16,8,320,912,14,14,1,1,1,1,0,0,0,0,dyn,14529
32,64,16,16,8,320,304,14,14,3,3,1,1,1,1,1,1,sta,38891
32,64,16,16,8,320,304,14,14,3,3,1,1,1,1,1,1,dyn,43097
32,64,16,16,8,512,1216,14,14,1,1,1,1,0,0,0,0,sta,27733
32,64,16,16,8,512,1216,14,14,1,1,1,1,0,0,0,0,dyn,30713
32,64,16,16,8,960,480,14,14,3,3,2,2,1,1,1,1,sta,46007
32,64,16,16,8,960,480,14,14,3,3,2,2,1,1,1,1,dyn,66196
32,64,16,16,8,1024,960,7,7,3,3,1,1,1,1,1,1,sta,97847
32,64,16,16,8,1024,960,7,7,3,3,1,1,1,1,1,1,dyn,140993
32,64,16,16,8,1280,1024,7,7,3,3,2,2,1,1,1,1,sta,130374
32,64,16,16,8,1280,1024,7,7,3,3,2,2,1,1,1,1,dyn,187868
32,64,16,16,8,1024,1280,4,4,1,1,1,1,0,0,0,0,sta,14722
32,64,16,16,8,1024,1280,4,4,1,1,1,1,0,0,0,0,dyn,21087
32,96,16,16,8,64,8,224,224,3,3,2,2,1,1,1,1,sta,7102
32,96,16,16,8,64,8,224,224,3,3,2,2,1,1,1,1,dyn,7102
32,96,16,16,8,64,32,112,112,3,3,2,2,1,1,1,1,sta,7033
32,96,16,16,8,64,32,112,112,3,3,2,2,1,1,1,1,dyn,7034
32,96,16,16,8,64,32,56,56,1,1,1,1,0,0,0,0,sta,1883
32,96,16,16,8,64,32,56,56,1,1,1,1,0,0,0,0,dyn,1883
32,96,16,16,8,64,192,56,56,1,1,1,1,0,0,0,0,sta,5101
32,96,16,16,8,64,192,56,56,1,1,1,1,0,0,0,0,dyn,5101
32,96,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,sta,12255
32,96,16,16,8,128,256,56,56,1,1,1,1,0,0,0,0,dyn,12316
32,96,16,16,8,192,128,56,56,3,3,2,2,1,1,1,1,sta,22286
32,96,16,16,8,192,128,56,56,3,3,2,2,1,1,1,1,dyn,23279
32,96,16,16,8,192,144,28,28,1,1,1,1,0,0,0,0,sta,3069
32,96,16,16,8,192,144,28,28,1,1,1,1,0,0,0,0,dyn,3113
32,96,16,16,8,128,144,28,28,3,3,1,1,1,1,1,1,sta,16791
32,96,16,16,8,128,144,28,28,3,3,1,1,1,1,1,1,dyn,17544
32,96,16,16,8,192,72,28,28,1,1,1,1,0,0,0,0,sta,1697
32,96,16,16,8,192,72,28,28,1,1,1,1,0,0,0,0,dyn,1697
32,96,16,16,8,192,432,28,28,1,1,1,1,0,0,0,0,sta,8570
32,96,16,16,8,192,432,28,28,1,1,1,1,0,0,0,0,dyn,8899
32,96,16,16,8,192,144,28,28,3,3,1,1,1,1,1,1,sta,25025
32,96,16,16,8,192,144,28,28,3,3,1,1,1,1,1,1,dyn,26156
